"id","lastpage","Start[naviConfig]","Start[mobile]","Start[consentGiven]","Start[screenSize]","Start[userAgent]","Start[prolificPID]","Age","Gender[gender]","CheckActiveReading","solarIntroGranny[navigationSolar]","Xsolar1[taskTime]","Xsolar1[completed]","Xsolar1[moves]","Xsolar1[errors]","Xsolar2[taskTime]","Xsolar2[completed]","Xsolar2[moves]","Xsolar2[errors]","solarUEQShedonism[boring]","solarUEQShedonism[notInteresting]","solarUEQShedonism[conventional]","solarUEQShedonism[usual]","solarUEQSusability[obstructive]","solarUEQSusability[complicated]","solarUEQSusability[inefficient]","solarUEQSusability[confusing]","batteryIntroGranny[navigationBattery]","Xbattery1[taskTime]","Xbattery1[completed]","Xbattery1[moves]","Xbattery1[errors]","Xbattery2[taskTime]","Xbattery2[completed]","Xbattery2[moves]","Xbattery2[errors]","batteryUEQSusability[obstructive]","batteryUEQSusability[complicated]","batteryUEQSusability[inefficient]","batteryUEQSusability[confusing]","batteryUEQShedonism[boring]","batteryUEQShedonism[notInteresting]","batteryUEQShedonism[conventional]","batteryUEQShedonism[usual]","DataQuality","DataQualityFollowUp","Feedback","ConsentGiven"
"493","21","small","true","Y","412x654","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Mobile Safari/537.36","5aea2ca4ff24e0000124b915","34","woman","This is the button for a hamburger menu, which opens after you click on it.","hamTop","23988","1","2","0","40245","1","9","0","4","5","2","4","5","6","6","6","bottomBar","10078","1","1","0","8748","1","1","0","6","7","7","7","6","6","4","5","Yes","","",""
"494","21","big","true","Y","277x501","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Mobile Safari/537.36","6554eeaa51c7f11955e67106","25","woman","This is the button for a hamburger menu, which opens after you click on it.","hamTop","42005.09999999404","1","6","0","91767","1","9","0","6","7","7","6","6","7","6","6","bottomBar","26314.5","1","10","0","39778.90000000596","1","14","0","5","5","5","4","5","5","6","5","Yes","","",""
"495","21","small","true","Y","412x835","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Mobile Safari/537.36","6530fed5b3281d288757fca9","27","woman","This is the button for a hamburger menu, which opens after you click on it.","bottomBar","27761.70000000298","1","6","0","12567.20000000298","1","1","0","5","6","5","5","7","7","7","7","hamTop","11043.70000000298","1","1","0","21150","1","1","0","3","3","2","3","2","3","1","2","Yes","","",""
"496","21","big","true","Y","390x657","Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1.1 Mobile/15E148 Safari/604.1","5c46315c85b76000017ce729","31","woman","This is the button for a hamburger menu, which opens after you click on it.","hamTop","14888","1","1","0","40201","1","7","0","4","4","5","5","5","2","4","3","bottomBar","23545","1","2","0","58485","1","12","0","3","1","3","2","4","4","5","5","Yes","","On the second slide of the emoji talking, the letters ended up becoming mixed up on the screen.",""
"497","21","small","true","Y","390x663","Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1.1 Mobile/15E148 Safari/604.1","6544fd87e9e89b2d95242a48","24","woman","This is the button for a hamburger menu, which opens after you click on it.","hamTop","12196","1","1","0","34641","1","4","0","7","7","7","7","7","7","7","7","bottomBar","13592","1","3","0","12675","1","2","0","7","7","7","7","7","7","7","7","Yes","","",""
"498","21","big","true","Y","430x739","Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1.1 Mobile/15E148 Safari/604.1","5cfb82a12bcca70018252f81","27","woman","This is the button for a hamburger menu, which opens after you click on it.","hamTop","21574","1","1","0","30295","1","8","0","4","4","5","5","3","3","3","3","bottomBar","22062","1","8","0","56234","1","21","0","5","3","4","3","4","4","4","4","Yes","","",""
"499","21","small","true","Y","412x757","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Mobile Safari/537.36","5b9aef21cc5dd0000165f072","22","non-binary","This is the button for a hamburger menu, which opens after you click on it.","bottomBar","20019.80000001192","1","4","0","8672.40000000596","1","1","0","5","6","4","5","6","7","7","6","hamTop","11138.60000000894","1","2","0","20283.29999999702","1","1","0","2","3","1","3","3","2","3","3","Yes","","",""
"500","21","big","true","Y","360x666","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Mobile Safari/537.36","6464dc39528181c001c5d141","56","woman","This is the button for a hamburger menu, which opens after you click on it.","hamTop","50975.10000000009","1","2","0","100820.20000000019","0","1","0","7","7","6","6","6","5","7","7","bottomBar","84894.29999999981","1","18","0","12631.700000000186","1","2","0","3","2","4","4","7","7","7","7","Yes","","",""
"501","21","small","true","Y","414x713","Mozilla/5.0 (Android 10; Mobile; rv:120.0) Gecko/120.0 Firefox/120.0","655fbe2580e5660b5d4ca6da","26","man","This is the button for a hamburger menu, which opens after you click on it.","bottomBar","17744","1","5","0","21909","1","3","0","3","2","2","1","5","6","6","4","hamTop","11409","1","1","0","11898","1","1","0","3","3","2","4","3","3","3","2","Yes","","",""
"502","21","big","true","Y","428x746","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Mobile/15E148 Safari/604.1","650a4d923dcd56228152b413","39","woman","This is the button for a hamburger menu, which opens after you click on it.","hamTop","57781","1","4","0","44783","1","7","0","5","5","4","4","4","3","4","3","bottomBar","20207","1","2","0","23669","1","2","0","6","7","7","6","7","7","7","7","Yes","","",""
